external_id,title,provider_name,main_category,sub_category,topic_slug,topic_name,candidate_name,suggested_parent_slug,suggested_depth,relevance_score,matched_fields,match_types,is_existing_topic,needs_review,is_auto_link_candidate,evidence_count
607f5aaa31467d55,프로그래밍개론,국립목포대학교,공학,컴퓨터공학,,,변수,programming-basic-syntax,3,0.95,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,3
607f5aaa31467d55,프로그래밍개론,국립목포대학교,공학,컴퓨터공학,,,조건문,programming-basic-syntax,3,0.95,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,3
607f5aaa31467d55,프로그래밍개론,국립목포대학교,공학,컴퓨터공학,,,입출력,programming-basic-syntax,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
607f5aaa31467d55,프로그래밍개론,국립목포대학교,공학,컴퓨터공학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.92,description_body_clean|description_keyword_items|description_keywords_raw,alias,true,false,true,3
607f5aaa31467d55,프로그래밍개론,국립목포대학교,공학,컴퓨터공학,programming-basic-syntax,프로그래밍 기초 문법,,,,0.92,title_clean,alias,true,false,true,1
61937b8ac6144a3e,전산수학1,고려대학교,공학,컴퓨터과학,linear-algebra,선형대수,,,,0.95,description_body_clean|description_keyword_items|description_keywords_raw,alias|topic_name,true,false,true,4
61937b8ac6144a3e,전산수학1,고려대학교,공학,컴퓨터과학,,,고윳값과 고유벡터,linear-algebra,3,0.95,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,3
61937b8ac6144a3e,전산수학1,고려대학교,공학,컴퓨터과학,,,대각화,linear-algebra,3,0.95,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,3
61937b8ac6144a3e,전산수학1,고려대학교,공학,컴퓨터과학,,,행렬,linear-algebra,3,0.95,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,3
61937b8ac6144a3e,전산수학1,고려대학교,공학,컴퓨터과학,,,벡터,linear-algebra,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,3
61937b8ac6144a3e,전산수학1,고려대학교,공학,컴퓨터과학,,,벡터공간,linear-algebra,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
61937b8ac6144a3e,전산수학1,고려대학교,공학,컴퓨터과학,,,선형변환,linear-algebra,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
61937b8ac6144a3e,전산수학1,고려대학교,공학,컴퓨터과학,,,역행렬,linear-algebra,3,0.82,description_body_clean,depth3_candidate,false,true,false,1
697298849e0d1596,Git & Github,이화여자대학교,공학,컴퓨터공학,git,Git,,,,1.0,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,alias|topic_name,true,false,true,5
697298849e0d1596,Git & Github,이화여자대학교,공학,컴퓨터공학,github,GitHub,,,,1.0,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,topic_name,true,false,true,4
697298849e0d1596,Git & Github,이화여자대학교,공학,컴퓨터공학,,,기댓값과 분산,probability-statistics,3,0.82,description_body_clean,depth3_candidate,false,true,false,1
6bdd67a8d95e389d,딥러닝 생성 모델의 원리와 구현,국립금오공과대학교,공학,컴퓨터공학,deep-learning,딥러닝,,,,1.0,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,topic_name,true,false,true,4
6bdd67a8d95e389d,딥러닝 생성 모델의 원리와 구현,국립금오공과대학교,공학,컴퓨터공학,,,Transformer,deep-learning,3,0.95,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,3
6bdd67a8d95e389d,딥러닝 생성 모델의 원리와 구현,국립금오공과대학교,공학,컴퓨터공학,artificial-intelligence,인공지능,,,,0.82,description_body_clean,topic_name,true,false,false,1
6f2df2b14cadd73c,데이터마이닝,경상국립대학교,공학,컴퓨터공학,data-analysis,데이터 분석,,,,0.95,description_body_clean|description_keyword_items|description_keywords_raw,topic_name,true,false,false,3
7252d764c1ecdfce,클라우드프로그래밍,인천대학교,공학,컴퓨터공학,programming,프로그래밍,,,,1.0,description_keyword_items|description_keywords_raw|title_clean,topic_name,true,false,false,3
7252d764c1ecdfce,클라우드프로그래밍,인천대학교,공학,컴퓨터공학,,,인터넷,networks,3,0.82,description_body_clean,depth3_candidate,false,true,false,1
7252d764c1ecdfce,클라우드프로그래밍,인천대학교,공학,컴퓨터공학,database,데이터베이스,,,,0.82,description_body_clean,topic_name,true,false,false,1
7252d764c1ecdfce,클라우드프로그래밍,인천대학교,공학,컴퓨터공학,networks,네트워크,,,,0.82,description_body_clean,topic_name,true,false,false,1
7252d764c1ecdfce,클라우드프로그래밍,인천대학교,공학,컴퓨터공학,cloud-basics,클라우드 기초,,,,0.77,description_body_clean,alias,true,false,false,1
7252d764c1ecdfce,클라우드프로그래밍,인천대학교,공학,컴퓨터공학,server-basics,서버 기초,,,,0.72,description_body_clean,alias,true,false,false,1
747d712f12f6a25e,지능영상처리,국립한밭대학교,공학,소프트웨어공학,python,Python,,,,0.95,description_body_clean|description_keyword_items|description_keywords_raw,topic_name,true,false,true,3
747d712f12f6a25e,지능영상처리,국립한밭대학교,공학,소프트웨어공학,computer-vision,컴퓨터 비전,,,,0.92,description_body_clean|description_keyword_items|description_keywords_raw,alias|topic_name,true,false,true,3
747d712f12f6a25e,지능영상처리,국립한밭대학교,공학,소프트웨어공학,programming,프로그래밍,,,,0.82,description_body_clean,topic_name,true,false,false,1
7518db4dec766f23,SW기초프로그래밍,경운대학교,공학,컴퓨터공학,programming,프로그래밍,,,,1.0,description_body_clean|title_clean,topic_name,true,false,false,2
