source_row_number,year,university_name,college_name,department_name,course_name,grade,semester,credit,lecture_hours,practice_hours,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,target_department_match,target_course_match,foundational_course_match,strong_ai_cs_course_match,excluded_department_match,final_target_keep,keep_reason,missing_removal_reason,quality_missing_ratio
17920,2022,경상국립대학교,공과대학,항공우주및소프트웨어공학부,종합설계,4,1학기,3,0,3,전공필수,"본 강좌는 항공우주공학전공 소속 교수의 지도에 따라 조별로 주제를 정해서 시스템에 대한 종합설계를 수행하며 종합설계 I의 연속되는 과정으로 본 과정의 궁극적인 목표는 시스템 제작의 완성이다. 본 과정에서는 지도교수의 지도 하에 과제에 대한 기본개념을 파악한 후 자료조사와 실현성에 대한 검토를 충분히 한다. 선정된 종합 설계 과제에 대해서는 조별로 계획된 단계를 각 지도교수님들의 지도 하에 진행하며 그에 따라 기본설계, 상세설계 등 도면 작업들이 수행된다. 그리고 완성된 도면에 따라 시스템이 제작된다. 제품의 설계는 CAD 및 해석 프로그램을 활용하고, 제작은 각자 분담된 부품별로 제작하고 최종 조립은 공동으로 수행한다. 설계, 제작, 시험 진행절차 및 문서화 정도와 최종 결과물에 대한 발표를 통해 평가가 이루어진다.",,/전공관련 서적/,,"필수선수과목 : 항공기설계, 비행역학해석, 항공기구조역학",True,False,True,False,False,True,target_department_and_foundational_course,missing_main_textbook,0.16666666666666666
17974,2022,경상국립대학교,공과대학,항공우주및소프트웨어공학부,이산신호처리,2,2학기,3,3,0,전공선택,,J. Proakis and D. K. Manolakis/Digital Signal processing/Pearson New International edition,,하석운/매트랩으로 배우는 디지털 신호처리/생능출판사,,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.25
17992,2022,경상국립대학교,공과대학,항공우주및소프트웨어공학부,Linux시스템프로그래밍,2,2학기,3,2,2,전공필수,,Marc Mitchell/Advanced Linux Programming/New Riders,,,,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.3333333333333333
18213,2022,경상국립대학교,공과대학,나노신소재공학부(금속재료공학전공),머신러닝,3,2학기,3,3,0,전공선택,,,,"1. Bishop, C. M/Neural Networks for Pattern Recognition/Oxford University Press,2. Ian Goodfellow/Deep Learning/,N. S. Reddy/Artificial Neural Networks in Materials Science/,/Neural networks in materials science/,Prof. HKDH Bhadeshia/Machine Learning in Materials Science/,W. Sha and K.L. Edwards/The use of artificial neural networks in materials sciencebased/","필수선수과목 : 없음,추천선수과목 : 없음",False,True,False,True,True,True,strong_ai_cs_course_outside_target_department,missing_learning_objective;missing_main_textbook,0.25
25632,2022,경상국립대학교,자연과학대학,생명과학부,생물빅데이터통계,3,1학기,3,3,0,전공선택,"Next generation sequencer의 발달로 인해 생물정보는 생물 빅데이터라고 불리울 정도로 대량화 되고 정교해 졌다. 본 과목에서는 다양한 NGS데이터의 성질을 이해하고 직접 분석해본다. 특히 대량의 생물정보 안에서의 관찰값 추출 및 통계, 그리고 시각화를 실습하여 각 학생들의 생물정보 인력으로 성장을 도모한다.",,/본 강의는 교재가 없습니다./,,,False,True,True,True,True,True,strong_ai_cs_course_outside_target_department,missing_main_textbook,0.25
26589,2022,경상국립대학교,자연과학대학,수학과,빅데이터수학,2,2학기,3,3,0,전공선택,"빅데이터 분석 및 딥러닝 연산을 이해하기 위해 필요한 기본 수학 지식을 강의한다. 선형대수학의 기초(vector space, matrix decomposition 등)를 주로 다루며 딥러닝과 관련된 수학적 개념(partial differentiation, chain rule 등)을 추가로 다룬다.",,,,,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_main_textbook,0.3333333333333333
26694,2022,경상국립대학교,자연과학대학,정보통계학과,생명과학빅데이터분석,3,1학기,3,3,0,전공선택,통계학의 여러 분야 중 생명 및 보건 분야의 역량을 강화하여 보건산업 분야 관심도를 높이고 직무능력 및 실무역량 함양을 통해 보건생명분야 빅데이터 전문인재 양성을 목표로 함.국가 및 공공기관에서 제공하고 있는 보건의료 분야 빅데이터의 경험할 수 있는 기회를 주고 그 데이터를 통해 가치 창출의 역할을 경험하므로서 보건의료분야 취업역량 향상을 목표로 함,,,"박원명, 우영섭, 송후림, 이대보/의사가 알아야 할 통계학과 역학/황소걸음 아카데미,정종학, 김창윤, 김석범/보건학 역학 통계 입문/영남대학교출판부",,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_main_textbook,0.25
27045,2022,경상국립대학교,자연과학대학,물리학과,알고리즘,2,1학기,3,3,0,전공선택,"빅데이터 분야에 활용도가 높은 알고리즘을 위주로, 상황에 맞는 알고리즘을 활용하여 프로그램을 구현하고 프로그램의 효율성과 정확성을 평가할 수 있는 능력을 배양한다. 전반부에서는 복잡도를 이론적으로 해석하는 방법을 배우고, 재귀, 분할정복, 동적 프로그래밍, 백 트래킹 등 핵심 알고리즘 전략들에 대해 알아본다. 후반부에서는 20세기 10대 알고리즘이라 꼽히는 최신 알고리즘들 중에서 빅데이터에 활용도가 높은 것들을 중심으로 공부한다.",,,"Thomas H. Cormen 등/Introduction to Algorithms/The MIT Press,이승찬/모두의 알고리즘 with 파이썬 /길벗",,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_main_textbook,0.25
27307,2022,경상국립대학교,자연과학대학,컴퓨터과학부 컴퓨터과학전공,모바일프로그래밍,4,2학기,3,1,2,전공선택,"Android Studio를 사용하여 대표적인 모바일 플랫폼인 Android에 적합한 프로그램을 설계 및 제작할 수 있도록 이론 및 실습을 병행하여 강의를 진행한다. 또한, 프로젝트를 통해 실제 프로그램을 기획, 설계, 제작하여 실전적 능력을 기르도록 한다.",,,"우재남, 박길식/Android Studio를 활용한 안드로이드 프로그래밍(7판)/한빛아카데미","필수선수과목 : Java 프로그래밍,추천선수과목 : 객체지향프로그래밍",True,True,False,False,False,True,target_department_and_target_course,missing_main_textbook,0.16666666666666666
27315,2022,경상국립대학교,자연과학대학,컴퓨터과학부 컴퓨터과학전공,종합설계PBL,4,1학기,3,3,0,전공필수,"지금까지 학습한 모든 교과목의 내용을 활용하여 소프트웨어 작품을 개발하는 것을 목표로 한다. 이를 위하여 먼저, 소프트웨어 프로젝트를 수행할 팀을 구성하고, 팀 별로 프로젝트를 구상하여 소프트웨어를 설계, 개발하는 전 과정을 경험함으로서 졸업작품을 완성한다.",,,"김성훈 역/소프트웨어설계 테크닉/성안당,정운재/프로젝트관리및 문서화/정익사","필수선수과목 : 소프트웨어프로젝트, 기초설계프로젝트, 소프트웨어공학,추천선수과목 : 시스템분석과설계",True,False,True,False,False,True,target_department_and_foundational_course,missing_main_textbook,0.16666666666666666
28133,2022,경상국립대학교,해양과학대학,기계시스템공학과,딥러닝과최적화개론,3,1학기,3,3,0,전공선택,"본 교육과정에서는 딥러닝과 최적화 개론에 대한 기초 개념을 학습하고, 비선형 방정식, 행렬식, 미분방정식 등의 해법을 계산할 수 있는 수치해석 알고리즘을 익힌다. 학습한 내용을 기반으로 Matlab을 사용한 수치해석 능력을 배양한다.",,,"Amos Gila/매트랩의 정석 [5판]/인피니티 북스,Steven C. Chapra/Applied Numerical Methods with MATLAB for Engineers and Scientists,/Mcgraw Hill,박태희/MATLAB을 이용한 알기 쉬운 수치해석/생능출판사",,False,True,False,True,True,True,strong_ai_cs_course_outside_target_department,missing_main_textbook,0.25
28547,2022,경상국립대학교,해양과학대학,지능형통신공학과,정보통신개론,2,1학기,3,3,0,전공선택,,C. Petzold/Code: The hidden language of computer hardware and software/Microsoft press,,,,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.3333333333333333
28582,2022,경상국립대학교,해양과학대학,지능형통신공학과,디지털통신공학,3,2학기,3,3,0,전공필수,,"S. Haykin/Digital communication systems/Wiley,디지털 통신 시스템/정호영, 임승각/한빛미디어",,,,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.3333333333333333
28584,2022,경상국립대학교,해양과학대학,지능형통신공학과,이동통신시스템,3,2학기,3,3,0,전공선택,,"J. Schiller/Mobile Communications/Addison Wesley,고영채, 곽경섭/최신이동통신 입문/한빛 아카데미",,"David Tse, Pramod Viswanath/Funadamentals of Wireless Communication/Cambridge,Theddore S. Rappaport/Wireless Communications: Principles and Practice/Prentice Hall",,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.25
28588,2022,경상국립대학교,해양과학대학,지능형통신공학과,고급인공지능,3,2학기,3,3,0,전공선택,기본적인 인공지능 이론을 학습하고 이를 다양한 실습과제에 적용하여 인공지능 기술을 이용하여 현실적인 문제들을 해결할 수 있는 능력을 학습함.,,,"김찬수, 김형오/파이썬과 OpenCV4를 활용한 컴퓨터 비전과 머신러닝/광문각,오일석, 이진선/파이썬으로 만드는 인공지능/한빛아카데미,황선규/OpenCV4로 배우는 컴퓨터 비전과 머신러닝/길벗",,True,True,False,True,False,True,target_department_and_target_course,missing_main_textbook,0.25
28608,2022,경상국립대학교,해양과학대학,지능형통신공학과,디지털신호처리실습,3,2학기,3,2,2,전공필수,,"A. V. Oppenheim, R. W. Schafer, J. R. Buck/DiscreteTime Signal Processing (2nd Edition)/Prentice Hall",,이철희/핵심이보이는 신호및 시스템: 기본이론부터 MATLAB실습까지/한빛미디어,,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.25
28881,2022,경상국립대학교,융합전공,데이터사이언스학,빅데이터윤리,3,1학기,3,3,0,전공선택,"이 강의는 4차 산업혁명을 주도하는 과학기술과 지식정보사회의 핵심 요소인 빅데이터에 대한 윤리적 이해와 성찰 역량을 증진하는 것을 목표로 한다. 인간의 실제들은 빅데이터로 활용되고 있고, 다양한 관계망의 맥락에서 재생산되고 있다. 이에 이 강의는 4명의 빅데이터 윤리 관련 전공 교수의 팀티칭과 모둠별 협동 학습 기반으로 학습자간 적극적인 토의토론을 통해 빅데이터를 윤리적으로 숙고하고 문제 사례에 대한 창의적 대안을 모색할 수 있는 융복합적 성찰 역량을 함양하고자 한다.",,팀티칭 교수 영역별 자료 제공 및 활용 학습 //,,,True,True,False,True,False,True,target_department_and_target_course,missing_main_textbook,0.25
28896,2022,경상국립대학교,융합전공,데이터사이언스학,통계계산및최적화,3,2학기,3,3,0,전공선택,"현대의 복잡하고 다양한 통계 모형을 분석하기 위해서는 컴퓨터를 사용한 과학계산 방법을 습득하는 것이 필수적이다. 본 과목에서는 수강생들이 관련된 주요 개념을 이해하고, 과제를 통해 계산 기법을 프로그램으로 구현하는 것을 목표로한다.",,,Stephen Boyd and Lieven Vandenberghe/Convex Optimization/Cambridge University Press,,True,False,True,False,False,True,target_department_and_foundational_course,missing_main_textbook,0.25
