source_row_number,year,university_name,college_name,department_name,course_name,grade,semester,credit,lecture_hours,practice_hours,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,target_department_match,target_course_match,foundational_course_match,strong_ai_cs_course_match,excluded_department_match,final_target_keep,keep_reason,quality_missing_ratio
37199,2022,부산대학교,정보의생명공학대학,데이터사이언스전공,인공지능,3,2학기,3,3,0,전공선택,"인공지능의 기초, 딥러닝 원리, 구조와 이론을 학습한다",수업 첫시간에 안내 예정,,,Linear Algebra Programming,True,True,False,True,False,True,target_department_and_target_course,0.16666666666666666
37201,2022,부산대학교,정보의생명공학대학,데이터사이언스전공,객체지향프로그래밍,3,2학기,3,3,0,전공선택,"지금까지 익힌 Python 언어를 기반으로 Kotlin (및 약간의 Java), C , C++ 언어 등을 활용하여 객체지향 패러다임을 이해하고 프로그래밍하는 방법을 익힌다.",없음,,"한 번 읽으면 두 번 깨닫는 객체지향 프로그래밍, 김동헌 저, e비즈북스","기초컴퓨터프로그래밍, 프로그래밍원리와실습",True,True,False,False,False,True,target_department_and_target_course,0.08333333333333333
37208,2022,부산대학교,정보의생명공학대학,데이터사이언스전공,알고리즘,3,1학기,3,3,0,전공필수,"다양한 문제를 알고리즘을 활용하여 프로그래밍적으로 해결하는 능력을 기르기 생각하는 힘, 논리적 사고력 키우기","알고리즘기초, 도경구 역, 홍릉과학출판사",,,프로그래밍원리와실습 자료구조,True,True,False,True,False,True,target_department_and_target_course,0.16666666666666666
37576,2022,서울대학교,공과대학,조선해양공학과,조선해양기계학습,전학년,2학기,3,3,0,전선,"본 강의에서는 통계적 추론에 기반한 기계학습의 기초에 대하여 학습하고 조선해양공학의 응용문제에 대한 프로젝트를 수행한다. 기계학습에 관련된 확률, 선형대수, 최적화의 기초에 대하여 학습한다. 확률에 기반한 최우추정법에 대하여 학습한다. 비지도 학습 분류 방법 및 선형 회귀법에 대하여 학습한다. Hidden Markov 모델과 Bayesian Inference의 개념, 이론 및 알고리즘에 대한 개요를 학습한다. Neural Network에 기반한 학습모델로 이미지 인식을 위한 Convolutional Neural Network, 음성과 같은 time series 데이터의 학습을 위한 Recurrent Neural Network의 개요에 대하여 학습한다. 그리고 보상에 따라 학습하는 Reinforcement Learning에 대하여 익힌다. 마지막으로 조선해양공학 응용의 기계학습 프로젝트를 수행하도록 한다.",단단한 머신러닝,나의 첫 머신러닝/딥러닝 (개정판),,"선형대수, 컴퓨터프로그래밍(파이썬, C++)",False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,0.08333333333333333
37666,2022,서울대학교,공과대학,전기·정보공학부,논리설계 및 실험,전학년,2학기,4,3,2,전필,"Boolean 대수, 논리 회로 최적화 등을 포함한 논리 회로 설계의 기초를 배운다. 이를 통해 combinational logic 및 sequential logic 의 차이와 설계 방법에 대해 이해하고 실제 설계 능력을 쌓는다.","Digital Design A System Approach,",,,,True,False,True,False,False,True,target_department_and_foundational_course,0.25
37672,2022,서울대학교,공과대학,전기·정보공학부,기초전자회로 및 실험,전학년,1학기,4,3,2,전필,"집적회로에서 쓰이는 다이오드, 바이폴라 트랜지스터, MOS 트랜지스터 등의 소자 특성에 대해 공부하고, 기본적인 증폭기, 연산증폭기 회로, 디지털 CMOS 회로의 분석과 설계 방법에 대해 공부한다.",Microelectronics,,,,True,True,True,False,False,True,target_department_and_target_course,0.25
37674,2022,서울대학교,공과대학,전기·정보공학부,기초전자회로 및 실험,전학년,1학기,4,3,2,전필,"본 강좌는 반도체 소자와 이를 이용한 전자 회로 설계의 기본적인 지식을 소개하는 데에 목적이 있다. 본 강좌의 전반부는 diode, bipolar junction transistor, MOSFET과 같은 반도체 소자에 대한 물리적, 회로적 모델을 다룰 예정이다. 아울러 본 강좌의 후반부는 물리적, 회로적 모델이 아날로그 증폭기 혹은 디지털 논리 게이트와 같은 다양한 회로에 적용이 가능한지를 다루고자 한다.",Fundamentals of Microelectronics,,,,True,True,True,False,False,True,target_department_and_target_course,0.25
37676,2022,서울대학교,공과대학,전기·정보공학부,프로그래밍방법론,전학년,2학기,4,2,4,전필,"ObjectOriented Programming의 개념을 익히고, C++ 언어를 학습하며, 이를 통해 중대형 프로그램을 작성하는 능력을 기른다. 그 외에도 C와 JAVA의 개괄, 디버깅, 소프트웨어의 성능 측정 및 향상법 등 전문 프로그래머로서 필요한 것들을 학습한다.",C++ Primer,,,,True,True,False,False,False,True,target_department_and_target_course,0.25
37682,2022,서울대학교,공과대학,전기·정보공학부,기초회로이론 및 실험,전학년,1학기,4,3,2,전필,"기초회로이론 및 실험 교과목은 전기 전자 공학에서 가장 중요하며 기본이 되는 전기 회로를 해석하는 이론과 이에 관련된 실험을 제공한다. 이 교과목에서는 저항, 인덕터, 캐패시터 등의 선형회로소자와 연산증폭기(Op Amp)의 선형구간을 이용하여 구성한 선형 전기회로를 해석한다. 키르히호프의 전류 법칙과 전압 법칙을 이용하여 선형회로소자와 연산증폭기(Op Amp)로 구성된 회로를 해석한다. 테브낭(The'venin)정리와 노튼(Norton)정리를 이용하여 등가회로 개념을 도입하고 최대 전력이 전달되는 회로에 대하여 학습한다. 저항인덕터 회로(RL회로), 저항캐패시터 회로(RC회로), 저항인덕터캐패시터 회로(RLC회로)의 해석을 통하여 시간 영역에서의 과도현상과 에너지의 저장 및 방출에 대하여 학습한다. 실험으로는 간단한 전기전자 회로실험 장치의 원리 및 조작에 대하여 학습한 후, 각 회로소자의 전압, 전류 측정 방법을 익힌다. 각 교과 내용에 관련된 회로를 설계하고 이를 측정하고 설계 및 해석한 값과 비교 및 검토한다. 또한, 교과 내용에 관련된 응용 지향성 회로를 설계하고 제작하는 실험 프로젝트를 수행하여 설계 및 실무 능력을 배양한다.",Introduction to Electric Circuits,,,,True,True,True,False,False,True,target_department_and_target_course,0.25
37683,2022,서울대학교,공과대학,전기·정보공학부,전기시스템선형대수,전학년,2학기,3,3,0,전선,"이 과목에서는 학생들에게 선형 대수학의 기본적인 이론적 개념뿐만 아니라 증명과정을 통하여 원리를 이해하도록 강의한다. 선형 대수학의 개념 및 벡터 공간, 선형 변환 및 행렬을 다룬다. 이 과목은 학생들이 논리적인 사고를 배양하고 증명하는 능력을 개발하도록 요구한다. 다양한 문제를 벡터 공간으로 전환하는 법을 이해하도록 한다. 그러한 능력을 배양하기위해 선형 대수학의 기본 개념 을 완전히 이해하도록 한다.",linear algebra,,,,True,False,True,False,False,True,target_department_and_foundational_course,0.25
