source_type,external_id,main_category,sub_category,title,description,provider_name,instructor_name,difficulty_level,url,content_type,title_clean,title_match,description_clean,description_match,has_keyword_section,description_body_clean,description_body_match,description_keywords_raw,description_keywords_match,description_keyword_items_json,description_keyword_count
KOCW,607f5aaa31467d55,공학,컴퓨터공학,프로그래밍개론,"본 교과목은 아두이노(Arduino) 기반의 피지컬 컴퓨팅을 구현하기 위한 기초 프로그래밍 역량을 함양하는 것을 목적으로 한다. 프로그래밍의 기본 개념인 변수, 조건문, 반복문, 함수 등을 학습하고, 이를 아두이노 환경에서 센서와 액추에이터를 제어하는 실습과 연계하여 적용한다. 하드웨어와 소프트웨어의 상호작용을 이해하고, 간단한 임베디드 시스템을 설계·구현함으로써 문제 해결 능력과 창의적 사고를 기르는 데 중점을 둔다.
키워드: 아두이노(Arduino),피지컬 컴퓨팅,임베디드 시스템,C/C++ 기반 프로그래밍,변수,조건문,반복문제,함수(Function),센서(Sensor),액추에이터(Actuator),디지털/아날로그 입출력,시리얼 통신,회로 설계 기초,문제 해결 능력",국립목포대학교,박장현,beginner,http://www.kocw.net/home/cview.do?cid=607f5aaa31467d55&ar=link_openapi,video,프로그래밍개론,프로그래밍개론,"본 교과목은 아두이노(Arduino) 기반의 피지컬 컴퓨팅을 구현하기 위한 기초 프로그래밍 역량을 함양하는 것을 목적으로 한다. 프로그래밍의 기본 개념인 변수, 조건문, 반복문, 함수 등을 학습하고, 이를 아두이노 환경에서 센서와 액추에이터를 제어하는 실습과 연계하여 적용한다. 하드웨어와 소프트웨어의 상호작용을 이해하고, 간단한 임베디드 시스템을 설계·구현함으로써 문제 해결 능력과 창의적 사고를 기르는 데 중점을 둔다. 키워드: 아두이노(Arduino),피지컬 컴퓨팅,임베디드 시스템,C/C++ 기반 프로그래밍,변수,조건문,반복문제,함수(Function),센서(Sensor),액추에이터(Actuator),디지털/아날로그 입출력,시리얼 통신,회로 설계 기초,문제 해결 능력","본 교과목은 아두이노(arduino) 기반의 피지컬 컴퓨팅을 구현하기 위한 기초 프로그래밍 역량을 함양하는 것을 목적으로 한다. 프로그래밍의 기본 개념인 변수, 조건문, 반복문, 함수 등을 학습하고, 이를 아두이노 환경에서 센서와 액추에이터를 제어하는 실습과 연계하여 적용한다. 하드웨어와 소프트웨어의 상호작용을 이해하고, 간단한 임베디드 시스템을 설계·구현함으로써 문제 해결 능력과 창의적 사고를 기르는 데 중점을 둔다. 키워드: 아두이노(arduino),피지컬 컴퓨팅,임베디드 시스템,c/c++ 기반 프로그래밍,변수,조건문,반복문제,함수(function),센서(sensor),액추에이터(actuator),디지털/아날로그 입출력,시리얼 통신,회로 설계 기초,문제 해결 능력",true,"본 교과목은 아두이노(Arduino) 기반의 피지컬 컴퓨팅을 구현하기 위한 기초 프로그래밍 역량을 함양하는 것을 목적으로 한다. 프로그래밍의 기본 개념인 변수, 조건문, 반복문, 함수 등을 학습하고, 이를 아두이노 환경에서 센서와 액추에이터를 제어하는 실습과 연계하여 적용한다. 하드웨어와 소프트웨어의 상호작용을 이해하고, 간단한 임베디드 시스템을 설계·구현함으로써 문제 해결 능력과 창의적 사고를 기르는 데 중점을 둔다.","본 교과목은 아두이노(arduino) 기반의 피지컬 컴퓨팅을 구현하기 위한 기초 프로그래밍 역량을 함양하는 것을 목적으로 한다. 프로그래밍의 기본 개념인 변수, 조건문, 반복문, 함수 등을 학습하고, 이를 아두이노 환경에서 센서와 액추에이터를 제어하는 실습과 연계하여 적용한다. 하드웨어와 소프트웨어의 상호작용을 이해하고, 간단한 임베디드 시스템을 설계·구현함으로써 문제 해결 능력과 창의적 사고를 기르는 데 중점을 둔다.","아두이노(Arduino),피지컬 컴퓨팅,임베디드 시스템,C/C++ 기반 프로그래밍,변수,조건문,반복문제,함수(Function),센서(Sensor),액추에이터(Actuator),디지털/아날로그 입출력,시리얼 통신,회로 설계 기초,문제 해결 능력","아두이노(arduino),피지컬 컴퓨팅,임베디드 시스템,c/c++ 기반 프로그래밍,변수,조건문,반복문제,함수(function),센서(sensor),액추에이터(actuator),디지털/아날로그 입출력,시리얼 통신,회로 설계 기초,문제 해결 능력","[""아두이노(Arduino)"", ""피지컬 컴퓨팅"", ""임베디드 시스템"", ""C/C++ 기반 프로그래밍"", ""변수"", ""조건문"", ""반복문제"", ""함수(Function)"", ""센서(Sensor)"", ""액추에이터(Actuator)"", ""디지털/아날로그 입출력"", ""시리얼 통신"", ""회로 설계 기초"", ""문제 해결 능력""]",14
KOCW,77b5b8f2d825bc0b,공학,정보통신공학,AI 리터러시,"인공지능(AI)의 기본 개념부터, 4차산업혁명과 AI, 컴퓨터와의 관계, 생성형AI의 기본 개념과 활용법, 최신 생성형AI 툴을 사용한 실제 활용방법을 살펴보고, 이해한다.
키워드: 컴퓨터,생성형 AI,알고리즘,가상화,제미나이,구글",국립목포대학교,이연우,intermediate,http://www.kocw.net/home/cview.do?cid=77b5b8f2d825bc0b&ar=link_openapi,video,AI 리터러시,ai 리터러시,"인공지능(AI)의 기본 개념부터, 4차산업혁명과 AI, 컴퓨터와의 관계, 생성형AI의 기본 개념과 활용법, 최신 생성형AI 툴을 사용한 실제 활용방법을 살펴보고, 이해한다. 키워드: 컴퓨터,생성형 AI,알고리즘,가상화,제미나이,구글","인공지능(ai)의 기본 개념부터, 4차산업혁명과 ai, 컴퓨터와의 관계, 생성형ai의 기본 개념과 활용법, 최신 생성형ai 툴을 사용한 실제 활용방법을 살펴보고, 이해한다. 키워드: 컴퓨터,생성형 ai,알고리즘,가상화,제미나이,구글",true,"인공지능(AI)의 기본 개념부터, 4차산업혁명과 AI, 컴퓨터와의 관계, 생성형AI의 기본 개념과 활용법, 최신 생성형AI 툴을 사용한 실제 활용방법을 살펴보고, 이해한다.","인공지능(ai)의 기본 개념부터, 4차산업혁명과 ai, 컴퓨터와의 관계, 생성형ai의 기본 개념과 활용법, 최신 생성형ai 툴을 사용한 실제 활용방법을 살펴보고, 이해한다.","컴퓨터,생성형 AI,알고리즘,가상화,제미나이,구글","컴퓨터,생성형 ai,알고리즘,가상화,제미나이,구글","[""컴퓨터"", ""생성형 AI"", ""알고리즘"", ""가상화"", ""제미나이"", ""구글""]",6
KOCW,dc3da489762e213c,공학,컴퓨터공학,인공지능기초,"이 과목은 컴퓨터공학을 전공하는 학부 3학년 학생들을 대상으로 하며, 최신 인공지능 기술의 실용적 이해와 활용 능력 배양을 목표로 한다. 과목은 Responsible AI와 AI 보안 및 리스크 관리 같은 윤리적・사회적 쟁점을 다루면서, 동시에 ChatGPT 및 OpenAI API, LangChain, Pinecone, Hugging Face 등 다양한 인공지능 플랫폼과 도구를 실습 중심으로 학습한다. 또한, 임베딩과 벡터 데이터베이스, 프롬프트 엔지니어링, LLM 응용 시스템 개발, AI 비즈니스화 전략 등 인공지능 생태계 전반을 경험함으로써, 학생들이 실제 산업 현장에서 필요한 실무 능력과 창의적 문제 해결 역량을 기를 수 있도록 설계되었다
키워드: 인공지능의 사회적 책임과 윤리적 쟁점에 대한 이해,AI 시스템 보안 및 리스크 관리 역량 습득,OpenAI API 및 최신 LLM 도구 활용 능력 배양,ChatGPT 프롬프트 엔지니어링 기술 습득,임베딩과 벡터 검색 기술 이해 및 활용,AI 응용 시스템 기획 및 구현 경험,AI 기술의 비즈니스 적용과 수익화 전략 탐색",건국대학교,백우진,beginner,http://www.kocw.net/home/cview.do?cid=dc3da489762e213c&ar=link_openapi,video,인공지능기초,인공지능기초,"이 과목은 컴퓨터공학을 전공하는 학부 3학년 학생들을 대상으로 하며, 최신 인공지능 기술의 실용적 이해와 활용 능력 배양을 목표로 한다. 과목은 Responsible AI와 AI 보안 및 리스크 관리 같은 윤리적・사회적 쟁점을 다루면서, 동시에 ChatGPT 및 OpenAI API, LangChain, Pinecone, Hugging Face 등 다양한 인공지능 플랫폼과 도구를 실습 중심으로 학습한다. 또한, 임베딩과 벡터 데이터베이스, 프롬프트 엔지니어링, LLM 응용 시스템 개발, AI 비즈니스화 전략 등 인공지능 생태계 전반을 경험함으로써, 학생들이 실제 산업 현장에서 필요한 실무 능력과 창의적 문제 해결 역량을 기를 수 있도록 설계되었다 키워드: 인공지능의 사회적 책임과 윤리적 쟁점에 대한 이해,AI 시스템 보안 및 리스크 관리 역량 습득,OpenAI API 및 최신 LLM 도구 활용 능력 배양,ChatGPT 프롬프트 엔지니어링 기술 습득,임베딩과 벡터 검색 기술 이해 및 활용,AI 응용 시스템 기획 및 구현 경험,AI 기술의 비즈니스 적용과 수익화 전략 탐색","이 과목은 컴퓨터공학을 전공하는 학부 3학년 학생들을 대상으로 하며, 최신 인공지능 기술의 실용적 이해와 활용 능력 배양을 목표로 한다. 과목은 responsible ai와 ai 보안 및 리스크 관리 같은 윤리적・사회적 쟁점을 다루면서, 동시에 chatgpt 및 openai api, langchain, pinecone, hugging face 등 다양한 인공지능 플랫폼과 도구를 실습 중심으로 학습한다. 또한, 임베딩과 벡터 데이터베이스, 프롬프트 엔지니어링, llm 응용 시스템 개발, ai 비즈니스화 전략 등 인공지능 생태계 전반을 경험함으로써, 학생들이 실제 산업 현장에서 필요한 실무 능력과 창의적 문제 해결 역량을 기를 수 있도록 설계되었다 키워드: 인공지능의 사회적 책임과 윤리적 쟁점에 대한 이해,ai 시스템 보안 및 리스크 관리 역량 습득,openai api 및 최신 llm 도구 활용 능력 배양,chatgpt 프롬프트 엔지니어링 기술 습득,임베딩과 벡터 검색 기술 이해 및 활용,ai 응용 시스템 기획 및 구현 경험,ai 기술의 비즈니스 적용과 수익화 전략 탐색",true,"이 과목은 컴퓨터공학을 전공하는 학부 3학년 학생들을 대상으로 하며, 최신 인공지능 기술의 실용적 이해와 활용 능력 배양을 목표로 한다. 과목은 Responsible AI와 AI 보안 및 리스크 관리 같은 윤리적・사회적 쟁점을 다루면서, 동시에 ChatGPT 및 OpenAI API, LangChain, Pinecone, Hugging Face 등 다양한 인공지능 플랫폼과 도구를 실습 중심으로 학습한다. 또한, 임베딩과 벡터 데이터베이스, 프롬프트 엔지니어링, LLM 응용 시스템 개발, AI 비즈니스화 전략 등 인공지능 생태계 전반을 경험함으로써, 학생들이 실제 산업 현장에서 필요한 실무 능력과 창의적 문제 해결 역량을 기를 수 있도록 설계되었다","이 과목은 컴퓨터공학을 전공하는 학부 3학년 학생들을 대상으로 하며, 최신 인공지능 기술의 실용적 이해와 활용 능력 배양을 목표로 한다. 과목은 responsible ai와 ai 보안 및 리스크 관리 같은 윤리적・사회적 쟁점을 다루면서, 동시에 chatgpt 및 openai api, langchain, pinecone, hugging face 등 다양한 인공지능 플랫폼과 도구를 실습 중심으로 학습한다. 또한, 임베딩과 벡터 데이터베이스, 프롬프트 엔지니어링, llm 응용 시스템 개발, ai 비즈니스화 전략 등 인공지능 생태계 전반을 경험함으로써, 학생들이 실제 산업 현장에서 필요한 실무 능력과 창의적 문제 해결 역량을 기를 수 있도록 설계되었다","인공지능의 사회적 책임과 윤리적 쟁점에 대한 이해,AI 시스템 보안 및 리스크 관리 역량 습득,OpenAI API 및 최신 LLM 도구 활용 능력 배양,ChatGPT 프롬프트 엔지니어링 기술 습득,임베딩과 벡터 검색 기술 이해 및 활용,AI 응용 시스템 기획 및 구현 경험,AI 기술의 비즈니스 적용과 수익화 전략 탐색","인공지능의 사회적 책임과 윤리적 쟁점에 대한 이해,ai 시스템 보안 및 리스크 관리 역량 습득,openai api 및 최신 llm 도구 활용 능력 배양,chatgpt 프롬프트 엔지니어링 기술 습득,임베딩과 벡터 검색 기술 이해 및 활용,ai 응용 시스템 기획 및 구현 경험,ai 기술의 비즈니스 적용과 수익화 전략 탐색","[""인공지능의 사회적 책임"", ""윤리적 쟁점"", ""AI 시스템 보안"", ""리스크 관리"", ""OpenAI API"", ""최신 LLM 도구"", ""ChatGPT 프롬프트 엔지니어링"", ""임베딩"", ""벡터 검색"", ""AI 응용 시스템 기획"", ""AI 기술의 비즈니스 적용"", ""수익화""]",12
KOCW,7c8983b3993474d7,공학,정보통신공학,컴퓨터네트워크,"컴퓨터네트워크가 작동하는 데 필요한 통신 규약(프로토콜)을 이해하고 특히 인터넷이 어떻게 작동하는지를 이해
키워드: 컴퓨터네트워크,인터넷,통신 프로토콜,ISO OSI 7계층 세계표준 프로토콜,TCP/IP 인터넷 프로토콜,선박통신망",국립한국해양대학교,손주영,unknown,http://www.kocw.net/home/cview.do?cid=7c8983b3993474d7&ar=link_openapi,video,컴퓨터네트워크,컴퓨터네트워크,"컴퓨터네트워크가 작동하는 데 필요한 통신 규약(프로토콜)을 이해하고 특히 인터넷이 어떻게 작동하는지를 이해 키워드: 컴퓨터네트워크,인터넷,통신 프로토콜,ISO OSI 7계층 세계표준 프로토콜,TCP/IP 인터넷 프로토콜,선박통신망","컴퓨터네트워크가 작동하는 데 필요한 통신 규약(프로토콜)을 이해하고 특히 인터넷이 어떻게 작동하는지를 이해 키워드: 컴퓨터네트워크,인터넷,통신 프로토콜,iso osi 7계층 세계표준 프로토콜,tcp/ip 인터넷 프로토콜,선박통신망",true,컴퓨터네트워크가 작동하는 데 필요한 통신 규약(프로토콜)을 이해하고 특히 인터넷이 어떻게 작동하는지를 이해,컴퓨터네트워크가 작동하는 데 필요한 통신 규약(프로토콜)을 이해하고 특히 인터넷이 어떻게 작동하는지를 이해,"컴퓨터네트워크,인터넷,통신 프로토콜,ISO OSI 7계층 세계표준 프로토콜,TCP/IP 인터넷 프로토콜,선박통신망","컴퓨터네트워크,인터넷,통신 프로토콜,iso osi 7계층 세계표준 프로토콜,tcp/ip 인터넷 프로토콜,선박통신망","[""컴퓨터네트워크"", ""인터넷"", ""통신 프로토콜"", ""ISO OSI 7계층 세계표준 프로토콜"", ""TCP/IP 인터넷 프로토콜"", ""선박통신망""]",6
KOCW,61937b8ac6144a3e,공학,컴퓨터과학,전산수학1,"본 강좌에서는 컴퓨터과학을 구성하는 다수 이론들의 토대인 선형대수학(Linear Algebra)의 기념 개념에 대해 살펴본다. 역행렬, 대각화, 고윳값 분해 등의 의미와 예시들을 학습하는 것은 물론 기계학습 등의 분야에서 선형대수학의 주요 개념이 어떻게 활용되는지에 대해서도 살펴본다.
키워드: 전산수학,선형대수,행렬,벡터,벡터공간,선형변환,대각화,고윳값분해,특잇값분해,이차형식",고려대학교,유용재,intermediate,http://www.kocw.net/home/cview.do?cid=61937b8ac6144a3e&ar=link_openapi,video,전산수학1,전산수학1,"본 강좌에서는 컴퓨터과학을 구성하는 다수 이론들의 토대인 선형대수학(Linear Algebra)의 기념 개념에 대해 살펴본다. 역행렬, 대각화, 고윳값 분해 등의 의미와 예시들을 학습하는 것은 물론 기계학습 등의 분야에서 선형대수학의 주요 개념이 어떻게 활용되는지에 대해서도 살펴본다. 키워드: 전산수학,선형대수,행렬,벡터,벡터공간,선형변환,대각화,고윳값분해,특잇값분해,이차형식","본 강좌에서는 컴퓨터과학을 구성하는 다수 이론들의 토대인 선형대수학(linear algebra)의 기념 개념에 대해 살펴본다. 역행렬, 대각화, 고윳값 분해 등의 의미와 예시들을 학습하는 것은 물론 기계학습 등의 분야에서 선형대수학의 주요 개념이 어떻게 활용되는지에 대해서도 살펴본다. 키워드: 전산수학,선형대수,행렬,벡터,벡터공간,선형변환,대각화,고윳값분해,특잇값분해,이차형식",true,"본 강좌에서는 컴퓨터과학을 구성하는 다수 이론들의 토대인 선형대수학(Linear Algebra)의 기념 개념에 대해 살펴본다. 역행렬, 대각화, 고윳값 분해 등의 의미와 예시들을 학습하는 것은 물론 기계학습 등의 분야에서 선형대수학의 주요 개념이 어떻게 활용되는지에 대해서도 살펴본다.","본 강좌에서는 컴퓨터과학을 구성하는 다수 이론들의 토대인 선형대수학(linear algebra)의 기념 개념에 대해 살펴본다. 역행렬, 대각화, 고윳값 분해 등의 의미와 예시들을 학습하는 것은 물론 기계학습 등의 분야에서 선형대수학의 주요 개념이 어떻게 활용되는지에 대해서도 살펴본다.","전산수학,선형대수,행렬,벡터,벡터공간,선형변환,대각화,고윳값분해,특잇값분해,이차형식","전산수학,선형대수,행렬,벡터,벡터공간,선형변환,대각화,고윳값분해,특잇값분해,이차형식","[""전산수학"", ""선형대수"", ""행렬"", ""벡터"", ""벡터공간"", ""선형변환"", ""대각화"", ""고윳값분해"", ""특잇값분해"", ""이차형식""]",10
KOCW,c506594f05a3b027,공학,컴퓨터과학,"인공지능의 윤리, 거버넌스 및 사회적 영향","10주 동안 학생들은 기본적인 윤리 이론을 탐구하고, 실제 사례 연구를 분석하며, 새로운 규제 프레임워크를 평가하고, 대규모 AI 도입의 사회적 및 환경적 결과를 비판적으로 평가합니다. 독서, 토론, 시뮬레이션, 그리고 성찰적 글쓰기를 통해 참가자들은 진화하는 AI 환경에서 윤리적으로 사고하고, 책임감 있게 행동하며, 정직하게 선도하는 능력을 개발하게 됩니다.
키워드: 인공지능(AI); 윤리; AI 윤리; 책임 있는 AI; 윤리적 AI; AI 거버넌스; AI 정책; AI 규제; AI와 사회; 기술 윤리",우송대학교,Hasan Tinmaz,intermediate,http://www.kocw.net/home/cview.do?cid=c506594f05a3b027&ar=link_openapi,video,"인공지능의 윤리, 거버넌스 및 사회적 영향","인공지능의 윤리, 거버넌스 및 사회적 영향","10주 동안 학생들은 기본적인 윤리 이론을 탐구하고, 실제 사례 연구를 분석하며, 새로운 규제 프레임워크를 평가하고, 대규모 AI 도입의 사회적 및 환경적 결과를 비판적으로 평가합니다. 독서, 토론, 시뮬레이션, 그리고 성찰적 글쓰기를 통해 참가자들은 진화하는 AI 환경에서 윤리적으로 사고하고, 책임감 있게 행동하며, 정직하게 선도하는 능력을 개발하게 됩니다. 키워드: 인공지능(AI); 윤리; AI 윤리; 책임 있는 AI; 윤리적 AI; AI 거버넌스; AI 정책; AI 규제; AI와 사회; 기술 윤리","10주 동안 학생들은 기본적인 윤리 이론을 탐구하고, 실제 사례 연구를 분석하며, 새로운 규제 프레임워크를 평가하고, 대규모 ai 도입의 사회적 및 환경적 결과를 비판적으로 평가합니다. 독서, 토론, 시뮬레이션, 그리고 성찰적 글쓰기를 통해 참가자들은 진화하는 ai 환경에서 윤리적으로 사고하고, 책임감 있게 행동하며, 정직하게 선도하는 능력을 개발하게 됩니다. 키워드: 인공지능(ai); 윤리; ai 윤리; 책임 있는 ai; 윤리적 ai; ai 거버넌스; ai 정책; ai 규제; ai와 사회; 기술 윤리",true,"10주 동안 학생들은 기본적인 윤리 이론을 탐구하고, 실제 사례 연구를 분석하며, 새로운 규제 프레임워크를 평가하고, 대규모 AI 도입의 사회적 및 환경적 결과를 비판적으로 평가합니다. 독서, 토론, 시뮬레이션, 그리고 성찰적 글쓰기를 통해 참가자들은 진화하는 AI 환경에서 윤리적으로 사고하고, 책임감 있게 행동하며, 정직하게 선도하는 능력을 개발하게 됩니다.","10주 동안 학생들은 기본적인 윤리 이론을 탐구하고, 실제 사례 연구를 분석하며, 새로운 규제 프레임워크를 평가하고, 대규모 ai 도입의 사회적 및 환경적 결과를 비판적으로 평가합니다. 독서, 토론, 시뮬레이션, 그리고 성찰적 글쓰기를 통해 참가자들은 진화하는 ai 환경에서 윤리적으로 사고하고, 책임감 있게 행동하며, 정직하게 선도하는 능력을 개발하게 됩니다.",인공지능(AI); 윤리; AI 윤리; 책임 있는 AI; 윤리적 AI; AI 거버넌스; AI 정책; AI 규제; AI와 사회; 기술 윤리,인공지능(ai); 윤리; ai 윤리; 책임 있는 ai; 윤리적 ai; ai 거버넌스; ai 정책; ai 규제; ai와 사회; 기술 윤리,"[""인공지능(AI)"", ""윤리"", ""AI 윤리"", ""책임 있는 AI"", ""윤리적 AI"", ""AI 거버넌스"", ""AI 정책"", ""AI 규제"", ""AI"", ""사회"", ""기술 윤리""]",11
KOCW,b574bb71edc73433,공학,소프트웨어공학,Language-C,"Language-C Feature, Grammar, Usage, Practice
키워드: Language-C",동명대학교,한성화,unknown,http://www.kocw.net/home/cview.do?cid=b574bb71edc73433&ar=link_openapi,document,Language-C,language-c,"Language-C Feature, Grammar, Usage, Practice 키워드: Language-C","language-c feature, grammar, usage, practice 키워드: language-c",true,"Language-C Feature, Grammar, Usage, Practice","language-c feature, grammar, usage, practice",Language-C,language-c,"[""Language-C""]",1
KOCW,c7d9cfebea954a24,공학,소프트웨어공학,딥러닝과 머신러닝으로 문제해결하기,"딥러닝과 머신러닝의 기본 모델을 학습함으로써 머신러닝과 딥러닝의 차이를 학습하고, 적시적소에 활용할 수 있는 기초 역량을 함양한다
키워드: 딥러닝,머신러닝,인공지능,모델 기초,문제해결",국립군산대학교,최승호,beginner,http://www.kocw.net/home/cview.do?cid=c7d9cfebea954a24&ar=link_openapi,video,딥러닝과 머신러닝으로 문제해결하기,딥러닝과 머신러닝으로 문제해결하기,"딥러닝과 머신러닝의 기본 모델을 학습함으로써 머신러닝과 딥러닝의 차이를 학습하고, 적시적소에 활용할 수 있는 기초 역량을 함양한다 키워드: 딥러닝,머신러닝,인공지능,모델 기초,문제해결","딥러닝과 머신러닝의 기본 모델을 학습함으로써 머신러닝과 딥러닝의 차이를 학습하고, 적시적소에 활용할 수 있는 기초 역량을 함양한다 키워드: 딥러닝,머신러닝,인공지능,모델 기초,문제해결",true,"딥러닝과 머신러닝의 기본 모델을 학습함으로써 머신러닝과 딥러닝의 차이를 학습하고, 적시적소에 활용할 수 있는 기초 역량을 함양한다","딥러닝과 머신러닝의 기본 모델을 학습함으로써 머신러닝과 딥러닝의 차이를 학습하고, 적시적소에 활용할 수 있는 기초 역량을 함양한다","딥러닝,머신러닝,인공지능,모델 기초,문제해결","딥러닝,머신러닝,인공지능,모델 기초,문제해결","[""딥러닝"", ""머신러닝"", ""인공지능"", ""모델 기초"", ""문제해결""]",5
KOCW,950abc12e2e19bb6,공학,컴퓨터공학,인터넷과 미래 네트워크 기술,"인터넷과 미래 네트워크 기술 전반(기초 레벨)
키워드: 네트워크,프로토콜,OSI 7,라우팅,5G",국립군산대학교,정길화,beginner,http://www.kocw.net/home/cview.do?cid=950abc12e2e19bb6&ar=link_openapi,video,인터넷과 미래 네트워크 기술,인터넷과 미래 네트워크 기술,"인터넷과 미래 네트워크 기술 전반(기초 레벨) 키워드: 네트워크,프로토콜,OSI 7,라우팅,5G","인터넷과 미래 네트워크 기술 전반(기초 레벨) 키워드: 네트워크,프로토콜,osi 7,라우팅,5g",true,인터넷과 미래 네트워크 기술 전반(기초 레벨),인터넷과 미래 네트워크 기술 전반(기초 레벨),"네트워크,프로토콜,OSI 7,라우팅,5G","네트워크,프로토콜,osi 7,라우팅,5g","[""네트워크"", ""프로토콜"", ""OSI 7"", ""라우팅"", ""5G""]",5
KOCW,c0edd79113aa1e83,공학,컴퓨터과학,컴퓨터과학과 코딩(심화),"파이썬의 핵심 컬렉션 자료형부터 모듈화 프로그래밍까지, 컴퓨터과학의 심화 개념을 실습 중심으로 학습하여 실전 문제 해결 역량을 기르는 과정입니다.
키워드: 소프트웨어,파이썬,컴퓨팅적 사고",국립군산대학교,김대기,advanced,http://www.kocw.net/home/cview.do?cid=c0edd79113aa1e83&ar=link_openapi,video,컴퓨터과학과 코딩(심화),컴퓨터과학과 코딩(심화),"파이썬의 핵심 컬렉션 자료형부터 모듈화 프로그래밍까지, 컴퓨터과학의 심화 개념을 실습 중심으로 학습하여 실전 문제 해결 역량을 기르는 과정입니다. 키워드: 소프트웨어,파이썬,컴퓨팅적 사고","파이썬의 핵심 컬렉션 자료형부터 모듈화 프로그래밍까지, 컴퓨터과학의 심화 개념을 실습 중심으로 학습하여 실전 문제 해결 역량을 기르는 과정입니다. 키워드: 소프트웨어,파이썬,컴퓨팅적 사고",true,"파이썬의 핵심 컬렉션 자료형부터 모듈화 프로그래밍까지, 컴퓨터과학의 심화 개념을 실습 중심으로 학습하여 실전 문제 해결 역량을 기르는 과정입니다.","파이썬의 핵심 컬렉션 자료형부터 모듈화 프로그래밍까지, 컴퓨터과학의 심화 개념을 실습 중심으로 학습하여 실전 문제 해결 역량을 기르는 과정입니다.","소프트웨어,파이썬,컴퓨팅적 사고","소프트웨어,파이썬,컴퓨팅적 사고","[""소프트웨어"", ""파이썬"", ""컴퓨팅적 사고""]",3
