source_type,external_id,main_category,sub_category,title,description,provider_name,instructor_name,difficulty_level,semester,url,thumbnail_url,syllabus_url,content_type,view_count,popular_score
KOCW,e9c0dc7ce85a30ed,공학,소프트웨어공학,PR의이해,,한경국립대학교,유선욱,unknown,2024년 2학기,http://www.kocw.net/home/cview.do?cid=e9c0dc7ce85a30ed&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1529776.jpg,http://www.kocw.net/home/common/contents/syllabus/1529776_2025070814917998.pdf,document,729,
KOCW,d60f52498e220d47,공학,소프트웨어공학,컴퓨팅적 사고,,한경국립대학교,김차영,unknown,2024년 2학기,http://www.kocw.net/home/cview.do?cid=d60f52498e220d47&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1529748.jpg,http://www.kocw.net/home/common/contents/syllabus/1529748_202507081497941.pdf,video,1457,
KOCW,10fc1ba125aa910c,공학,정보과학,의료보건빅데이터분석,"병원환자정보나 약국처방전 등 의료보건 빅데이터를 분석에 필요한 알고리즘 및 방법론을 학습한다
키워드: 의료보건 빅데이터,인공지능,데이터분석전문가",인제대학교,"김종원 (,Kim Jong-won)",intermediate,2024년 1학기,http://www.kocw.net/home/cview.do?cid=10fc1ba125aa910c&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1529585.jpg,http://www.kocw.net/home/common/contents/syllabus/1529585_20250708153550558.pdf,video,2465,
KOCW,b2fcd698ff84272f,공학,컴퓨터공학,인공지능기초프로그래밍,"강좌 설명
키워드: 강좌 관련 키워드",목원대학교,구진희,beginner,2024년 1학기,http://www.kocw.net/home/cview.do?cid=b2fcd698ff84272f&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1529091.jpg,http://www.kocw.net/home/common/contents/syllabus/1529091_2025070316733660.pdf,video,2103,
KOCW,946001105e33e413,공학,소프트웨어공학,프로그래밍을 위한 컴퓨팅적 사고,"본 교과목에서는 논리적 사고력 함양의 첫 단계로 파이썬 프로그래밍의 기초를 학습한다. 프로그래밍 경험이 없는 초심자를 위해 변수, 자료형(data types), 제어문, 함수 등과 같은 기본 개념부터 차례로 학습할 수 있으며 다양한 예제와 실습을 통해 컴퓨팅 사고를 바탕으로 한 문제 해결력을 기르고자 한다.
키워드: Python,연산자,조건문,반복문,리스트,딕셔너리,함수,터틀그래픽,프로그래밍 입문 실습",숙명여자대학교,"박호연,심우혁",beginner,2024년 1학기,http://www.kocw.net/home/cview.do?cid=946001105e33e413&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1528922.jpg,http://www.kocw.net/home/common/contents/syllabus/1528922_2025070313119387.pdf,video,2114,
KOCW,5af573187812b3ef,공학,소프트웨어공학,데이터분석기초,"본 교과목에서는 논리적 사고력과 데이터 기반 문제 해결력 함양의 첫 단계로 파이썬을 활용한 데이터 분석의 기초를 학습한다. 프로그래밍에 익숙하지 않은 초심자도 따라올 수 있도록, 파이썬의 기본 문법 복습과 함께 데이터 분석에 필요한 핵심 개념들을 예제 중심의 실습으로 학습한다.
키워드: Python,조건문,반복문,함수,터틀그래픽,Numpy,Pandas,프로그래밍 실습",숙명여자대학교,"심우혁,신연순",beginner,2024년 1학기,http://www.kocw.net/home/cview.do?cid=5af573187812b3ef&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1528912.jpg,http://www.kocw.net/home/common/contents/syllabus/1528912_20250703131059969.pdf,video,1911,
KOCW,7518db4dec766f23,공학,컴퓨터공학,SW기초프로그래밍,"기초 코딩을 위한 프로그래밍 논리와 응용 학습을 위한 강좌(초급)
키워드: 기초 코딩,프로그램 논리,순서도,랩터",경운대학교,하옥균,beginner,2024년 1학기,http://www.kocw.net/home/cview.do?cid=7518db4dec766f23&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1528139.jpg,http://www.kocw.net/home/common/contents/syllabus/1528139_20250702104919420.pdf,video,2142,
KOCW,3b8e2c26470dba1c,공학,컴퓨터공학,지능형교통시스템PBL,"본 과목은 지능형 교통 시스템 환경에 대한 포괄적 이해와 문제 정의 및 활용 능력 향상을 기본적인 목표로 한다. 엣지 클라우드 환경을 고려한 보안 감시 및 공공 서비스 개선 프레임워크를 설계하기 위한 주요 문제 도출 및 정의하고, 상황 적응형 솔루션 기법 및 관리 방안을 학습한다.
키워드: 엣지 클라우드,지능형 교통시스템,지능형 교통시스템 기본",인천대학교,김현범,intermediate,2025년 1학기,http://www.kocw.net/home/cview.do?cid=3b8e2c26470dba1c&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1528031.jpg,http://www.kocw.net/home/common/contents/syllabus/1528031_2025070291343843.pdf,video,1280,
KOCW,83bdcfb3c1e66e1d,공학,멀티미디어학,인공지능의활용과 AI리터러시,"알고리즘 편향, 자동화된 결정의 불투명성, 개인정보 침해 등 주요 이슈를 실제 사례와 실습을 통해 살펴보며, 학습자는 AI 시스템을 실제로 활용해 보고 그 과정에서 발생할 수 있는 윤리적 쟁점에 대해 다각도로 숙고하게 된다. 이를 통해 기술에 대한 이해를 넘어, AI의 사회적 함의와 책임을 고려하는 통합적 사고 역량을 기르는 것을 목표로 한다.
키워드: AI 윤리,알고리즘 편향,사회적 책임,기술과 가치,사례 기반 토론,비판적 사고",동아대학교,정소영,intermediate,2025년 1학기,http://www.kocw.net/home/cview.do?cid=83bdcfb3c1e66e1d&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1526982.jpg,http://www.kocw.net/home/common/contents/syllabus/1526982_20250630111829694.pdf,video,11560,
KOCW,6f2df2b14cadd73c,공학,컴퓨터공학,데이터마이닝,"기업들간의 경쟁이 심화되고 정보 활용의 중요성이 높아짐에 따라, 대량의 기업 데이터에서 유용한 정보를 찾아내는 데이터마이닝(data
mining)에 대한 관심이 높아지고 있다. 본 수업에서는 최근 널리 사용되는 데이터마이닝의 대표적인 기법들을 학습하고, 데이터마이닝
프로그램인 웨카(Weka)를 이용하여 다양한 비즈니스 문제들을 해결하는 실습수업을 진행하고자 한다.
본 수업을 통해 학생들은 데이터마이닝에 대해 전반적인 개념과 실제 비즈니스 환경에서 사용할 수 있는 데이터 분석 기술을 배울 수 있다.
키워드: 데이터 분석,데이터 마이닝",경상국립대학교,유동희,advanced,2024년 1학기,http://www.kocw.net/home/cview.do?cid=6f2df2b14cadd73c&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1526651.jpg,http://www.kocw.net/home/common/contents/syllabus/1526651_20250624172137510.pdf,video,2624,
