source_dataset,source_lookup_key,source_title,candidate_name,suggested_parent_slug,topic_slug,topic_name,relevance_score,exclusion_reason
course,14817,빅데이터응용,,,deep-learning,딥러닝,0.83,existing_topic_not_auto_link_candidate
course,14817,빅데이터응용,,,machine-learning,머신러닝,0.83,existing_topic_not_auto_link_candidate
course,14817,빅데이터응용,,,data-analysis,데이터 분석,0.80,existing_topic_not_auto_link_candidate
course,14817,빅데이터응용,,,python,Python,0.73,existing_topic_not_auto_link_candidate
course,14817,빅데이터응용,,,artificial-intelligence,인공지능,0.50,existing_topic_not_auto_link_candidate
course,14817,빅데이터응용,,,programming,프로그래밍,0.50,existing_topic_not_auto_link_candidate
course,14817,빅데이터응용,,,operating-systems,운영체제,0.68,course_prerequisite_relation_excluded
course,14818,컴퓨터구조,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,14823,소프트웨어공학,,,testing,테스트,0.80,existing_topic_not_auto_link_candidate
course,14823,소프트웨어공학,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,14823,소프트웨어공학,,,programming-basic-syntax,프로그래밍 기초 문법,0.65,course_prerequisite_relation_excluded
course,14823,소프트웨어공학,,,java,Java,0.60,course_prerequisite_relation_excluded
course,14825,C프로그래밍과실습,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,14825,C프로그래밍과실습,,,c-language,C언어,0.83,existing_topic_not_auto_link_candidate
course,14826,C프로그래밍과실습,,,programming,프로그래밍,0.95,existing_topic_not_auto_link_candidate
course,14826,C프로그래밍과실습,,,c-language,C언어,0.50,existing_topic_not_auto_link_candidate
course,14827,C프로그래밍과실습,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,14827,C프로그래밍과실습,,,c-language,C언어,0.50,existing_topic_not_auto_link_candidate
course,14827,C프로그래밍과실습,,,programming-basic-syntax,프로그래밍 기초 문법,0.50,existing_topic_not_auto_link_candidate
course,14828,C프로그래밍과실습,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,14828,C프로그래밍과실습,,,c-language,C언어,0.78,existing_topic_not_auto_link_candidate
course,14831,C프로그래밍과실습,,,programming,프로그래밍,0.95,existing_topic_not_auto_link_candidate
course,14831,C프로그래밍과실습,,,c-language,C언어,0.80,existing_topic_not_auto_link_candidate
course,14831,C프로그래밍과실습,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,14834,C프로그래밍과실습,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,14838,네트워크프로그래밍,,,programming,프로그래밍,0.98,existing_topic_not_auto_link_candidate
course,14839,네트워크프로그래밍,,,programming,프로그래밍,0.98,existing_topic_not_auto_link_candidate
course,14843,전자회로설계,,,deployment,배포,0.50,existing_topic_not_auto_link_candidate
course,14844,전자회로설계,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,14847,마이크로프로세서설계실험,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,14847,마이크로프로세서설계실험,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,14848,마이크로프로세서설계실험,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,14848,마이크로프로세서설계실험,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,14852,마이크로프로세서설계실험,,,programming,프로그래밍,0.80,existing_topic_not_auto_link_candidate
course,14852,마이크로프로세서설계실험,,,c-language,C언어,0.78,course_prerequisite_relation_excluded
course,14853,임베디드시스템설계실험,입출력,programming-basic-syntax,,,0.80,review_candidate_not_approved
course,14853,임베디드시스템설계실험,,,computer-architecture,컴퓨터구조,0.80,existing_topic_not_auto_link_candidate
course,14853,임베디드시스템설계실험,,,operating-systems,운영체제,0.80,existing_topic_not_auto_link_candidate
course,14853,임베디드시스템설계실험,,,c-language,C언어,0.68,course_prerequisite_relation_excluded
course,14914,확률과정,변수,programming-basic-syntax,,,0.80,review_candidate_not_approved
course,14915,확률과정,변수,programming-basic-syntax,,,0.80,review_candidate_not_approved
course,14920,확률과정,변수,programming-basic-syntax,,,0.80,review_candidate_not_approved
course,14921,확률과정,변수,programming-basic-syntax,,,0.80,review_candidate_not_approved
course,14922,기초전자실험 및 설계,,,deployment,배포,0.50,existing_topic_not_auto_link_candidate
course,14923,기초전자실험 및 설계,,,deployment,배포,0.50,existing_topic_not_auto_link_candidate
course,14925,기초전자실험 및 설계,,,deployment,배포,0.50,existing_topic_not_auto_link_candidate
course,14926,기초전자실험 및 설계,,,deployment,배포,0.50,existing_topic_not_auto_link_candidate
course,14927,기초전자실험 및 설계,,,deployment,배포,0.50,existing_topic_not_auto_link_candidate
course,14929,기초전자실험 및 설계,,,deployment,배포,0.50,existing_topic_not_auto_link_candidate
course,14930,기초전자실험 및 설계,,,deployment,배포,0.50,existing_topic_not_auto_link_candidate
course,14935,기초전자실험 및 설계,,,github,GitHub,0.50,existing_topic_not_auto_link_candidate
course,14989,회로이론2,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15016,논리회로,,,discrete-mathematics,이산수학,0.65,course_prerequisite_relation_excluded
course,15019,논리회로,,,algorithms,알고리즘,0.80,existing_topic_not_auto_link_candidate
course,15020,논리회로,,,programming,프로그래밍,0.80,existing_topic_not_auto_link_candidate
course,15025,전자공학실험1,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15026,전자공학실험1,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15028,전자공학실험1,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15030,전자공학실험1,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15039,전자공학실험2,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15065,신호및시스템,입출력,programming-basic-syntax,,,0.80,review_candidate_not_approved
course,15072,마이크로프로세서,,,programming,프로그래밍,0.71,course_prerequisite_relation_excluded
course,15072,마이크로프로세서,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,15073,마이크로프로세서,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15073,마이크로프로세서,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,15074,마이크로프로세서,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15074,마이크로프로세서,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,15080,통신이론,변수,programming-basic-syntax,,,0.65,review_candidate_not_approved
course,15132,데이터마이닝응용,,,discrete-mathematics,이산수학,0.68,course_prerequisite_relation_excluded
course,15140,기계학습시스템설계,,,python,Python,0.83,existing_topic_not_auto_link_candidate
course,15140,기계학습시스템설계,,,pandas,Pandas,0.80,existing_topic_not_auto_link_candidate
course,15140,기계학습시스템설계,,,artificial-intelligence,인공지능,0.50,existing_topic_not_auto_link_candidate
course,15140,기계학습시스템설계,,,deep-learning,딥러닝,0.50,existing_topic_not_auto_link_candidate
course,15140,기계학습시스템설계,,,github,GitHub,0.50,existing_topic_not_auto_link_candidate
course,15140,기계학습시스템설계,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15143,사물컴퓨팅시스템설계,,,c-language,C언어,0.80,existing_topic_not_auto_link_candidate
course,15143,사물컴퓨팅시스템설계,,,operating-systems,운영체제,0.85,course_prerequisite_relation_excluded
course,15143,사물컴퓨팅시스템설계,,,data-structures,자료구조,0.83,course_prerequisite_relation_excluded
course,15156,전자공학종합설계1,,,programming,프로그래밍,0.83,course_prerequisite_relation_excluded
course,15159,전자공학종합설계1,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15167,전자공학종합설계2,,,programming,프로그래밍,0.80,existing_topic_not_auto_link_candidate
course,15169,전자공학종합설계2,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15170,파이썬프로그래밍,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,15171,파이썬프로그래밍,,,programming,프로그래밍,0.98,course_prerequisite_relation_excluded
course,15173,파이썬프로그래밍,,,programming,프로그래밍,0.95,existing_topic_not_auto_link_candidate
course,15173,파이썬프로그래밍,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,15174,파이썬프로그래밍,,,programming,프로그래밍,1.00,course_prerequisite_relation_excluded
course,15175,파이썬프로그래밍,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,15177,파이썬프로그래밍,,,programming,프로그래밍,0.95,existing_topic_not_auto_link_candidate
course,15179,파이썬프로그래밍,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,15182,파이썬프로그래밍,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15182,파이썬프로그래밍,,,programming,프로그래밍,1.00,course_prerequisite_relation_excluded
course,15183,공학수학 1,,,calculus,미적분,0.68,course_prerequisite_relation_excluded
course,15187,공학수학 1,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15187,공학수학 1,,,calculus,미적분,0.68,course_prerequisite_relation_excluded
course,15190,공학수학 1,,,calculus,미적분,0.68,course_prerequisite_relation_excluded
course,15191,공학수학 1,,,calculus,미적분,0.65,course_prerequisite_relation_excluded
course,15192,공학수학 1,변수,programming-basic-syntax,,,0.80,review_candidate_not_approved
course,15207,SoC설계 및 프로그래밍,,,deployment,배포,0.50,existing_topic_not_auto_link_candidate
course,15207,SoC설계 및 프로그래밍,,,programming,프로그래밍,1.00,course_prerequisite_relation_excluded
course,15207,SoC설계 및 프로그래밍,,,computer-architecture,컴퓨터구조,0.83,course_prerequisite_relation_excluded
course,15208,휴스타 ICT 설계팀프로젝트1 (캡스톤디자인),,,deep-learning,딥러닝,0.50,existing_topic_not_auto_link_candidate
course,15212,선형대수,,,networks,네트워크,0.80,existing_topic_not_auto_link_candidate
course,15219,수치해석,,,linear-algebra,선형대수,0.68,course_prerequisite_relation_excluded
course,15222,수치해석,,,programming,프로그래밍,0.80,existing_topic_not_auto_link_candidate
course,15252,이산수학,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15259,자료구조,,,c-language,C언어,0.50,existing_topic_not_auto_link_candidate
course,15259,자료구조,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15260,자료구조,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15261,자료구조,,,algorithms,알고리즘,0.80,existing_topic_not_auto_link_candidate
course,15261,자료구조,,,programming,프로그래밍,0.83,course_prerequisite_relation_excluded
course,15262,자료구조,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15263,자료구조,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15264,자료구조,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15266,프로그래밍기초,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,15266,프로그래밍기초,,,c-language,C언어,0.75,existing_topic_not_auto_link_candidate
course,15267,프로그래밍기초,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,15267,프로그래밍기초,,,c-language,C언어,0.80,existing_topic_not_auto_link_candidate
course,15269,기초창의공학설계,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.78,course_prerequisite_relation_excluded
course,15271,기초창의공학설계,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15272,자료구조응용,,,c-language,C언어,0.50,existing_topic_not_auto_link_candidate
course,15272,자료구조응용,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15273,자료구조응용,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15274,자료구조응용,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15275,자료구조응용,,,algorithms,알고리즘,0.80,existing_topic_not_auto_link_candidate
course,15275,자료구조응용,,,programming,프로그래밍,0.83,course_prerequisite_relation_excluded
course,15276,자료구조응용,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15277,자료구조응용,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15278,자바프로그래밍,,,programming,프로그래밍,0.95,existing_topic_not_auto_link_candidate
course,15279,자바프로그래밍,,,programming,프로그래밍,0.95,existing_topic_not_auto_link_candidate
course,15279,자바프로그래밍,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15279,자바프로그래밍,,,c-language,C언어,0.68,course_prerequisite_relation_excluded
course,15282,자바프로그래밍,,,programming,프로그래밍,1.00,course_prerequisite_relation_excluded
course,15282,자바프로그래밍,,,programming-basic-syntax,프로그래밍 기초 문법,0.65,course_prerequisite_relation_excluded
course,15282,자바프로그래밍,,,python,Python,0.60,course_prerequisite_relation_excluded
course,15283,자바프로그래밍,,,programming,프로그래밍,1.00,course_prerequisite_relation_excluded
course,15283,자바프로그래밍,,,programming-basic-syntax,프로그래밍 기초 문법,0.65,course_prerequisite_relation_excluded
course,15283,자바프로그래밍,,,python,Python,0.60,course_prerequisite_relation_excluded
course,15285,소프트웨어설계,,,oop,객체지향 프로그래밍,0.68,course_prerequisite_relation_excluded
course,15285,소프트웨어설계,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15285,소프트웨어설계,,,java,Java,0.60,course_prerequisite_relation_excluded
course,15286,소프트웨어설계,,,object-oriented-design,객체지향 설계,0.80,existing_topic_not_auto_link_candidate
course,15286,소프트웨어설계,,,oop,객체지향 프로그래밍,0.78,course_prerequisite_relation_excluded
course,15288,운영체제,,,programming,프로그래밍,0.83,course_prerequisite_relation_excluded
course,15288,운영체제,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,15288,운영체제,,,computer-architecture,컴퓨터구조,0.65,course_prerequisite_relation_excluded
course,15288,운영체제,,,data-structures,자료구조,0.65,course_prerequisite_relation_excluded
course,15289,운영체제,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,15291,운영체제,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15291,운영체제,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,15291,운영체제,,,computer-architecture,컴퓨터구조,0.65,course_prerequisite_relation_excluded
course,15291,운영체제,,,data-structures,자료구조,0.65,course_prerequisite_relation_excluded
course,15292,운영체제,입출력,programming-basic-syntax,,,0.80,review_candidate_not_approved
course,15292,운영체제,,,linux,Linux,0.80,existing_topic_not_auto_link_candidate
course,15292,운영체제,,,computer-architecture,컴퓨터구조,0.65,course_prerequisite_relation_excluded
course,15297,알고리즘1,,,data-structures,자료구조,0.68,course_prerequisite_relation_excluded
course,15298,알고리즘1,,,data-structures,자료구조,0.65,course_prerequisite_relation_excluded
course,15299,알고리즘1,,,programming,프로그래밍,0.83,course_prerequisite_relation_excluded
course,15299,알고리즘1,,,data-structures,자료구조,0.68,course_prerequisite_relation_excluded
course,15299,알고리즘1,,,python,Python,0.68,course_prerequisite_relation_excluded
course,15300,알고리즘1,,,programming,프로그래밍,0.80,existing_topic_not_auto_link_candidate
course,15300,알고리즘1,,,data-structures,자료구조,0.68,course_prerequisite_relation_excluded
course,15301,알고리즘2,,,algorithms,알고리즘,0.98,course_prerequisite_relation_excluded
course,15301,알고리즘2,,,data-structures,자료구조,0.68,course_prerequisite_relation_excluded
course,15301,알고리즘2,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,15301,알고리즘2,,,python,Python,0.68,course_prerequisite_relation_excluded
course,15313,모바일앱프로그래밍1,,,programming,프로그래밍,1.00,course_prerequisite_relation_excluded
course,15313,모바일앱프로그래밍1,,,java,Java,0.60,course_prerequisite_relation_excluded
course,15321,소프트웨어공학,,,git,Git,0.50,existing_topic_not_auto_link_candidate
course,15321,소프트웨어공학,,,java,Java,0.68,course_prerequisite_relation_excluded
course,15325,컴퓨팅사고와 SW코딩,,,python,Python,0.70,existing_topic_not_auto_link_candidate
course,15326,컴퓨팅사고와 SW코딩,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15326,컴퓨팅사고와 SW코딩,,,python,Python,0.50,existing_topic_not_auto_link_candidate
course,15327,컴퓨팅사고와 SW코딩,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,15328,네트워크프로그래밍,,,programming,프로그래밍,1.00,course_prerequisite_relation_excluded
course,15328,네트워크프로그래밍,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,15329,네트워크프로그래밍,인터넷,networks,,,0.80,review_candidate_not_approved
course,15329,네트워크프로그래밍,,,programming,프로그래밍,1.00,course_prerequisite_relation_excluded
course,15329,네트워크프로그래밍,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,15330,네트워크프로그래밍,,,programming,프로그래밍,0.98,existing_topic_not_auto_link_candidate
course,15330,네트워크프로그래밍,,,linux,Linux,0.68,course_prerequisite_relation_excluded
course,15334,논리회로,,,computer-architecture,컴퓨터구조,0.75,existing_topic_not_auto_link_candidate
course,15338,시스템프로그래밍,,,programming,프로그래밍,0.95,existing_topic_not_auto_link_candidate
course,15338,시스템프로그래밍,,,linux,Linux,0.83,existing_topic_not_auto_link_candidate
