curriculum_course_lookup_key,course_name,topic_lookup_key,topic_name,topic_depth,parent_topic_slug,relevance_score,extraction_method,is_primary,matched_fields,match_types,link_type
37685,자료구조의 기초,list,리스트,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37685,자료구조의 기초,queue,큐,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37685,자료구조의 기초,stack,스택,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37685,자료구조의 기초,tree,트리,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37686,자료구조의 기초,data-structures,자료구조,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
37686,자료구조의 기초,list,리스트,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37686,자료구조의 기초,queue,큐,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37686,자료구조의 기초,stack,스택,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37686,자료구조의 기초,tree,트리,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37709,알고리즘의 기초,algorithms,알고리즘,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
37709,알고리즘의 기초,dynamic-programming,동적 계획법,3,algorithms,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37709,알고리즘의 기초,graph-data-structure,그래프 자료구조,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37754,딥러닝의 기초,deep-learning,딥러닝,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,alias|topic_name,existing_topic
37754,딥러닝의 기초,cnn,CNN,3,deep-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37754,딥러닝의 기초,rnn,RNN,3,deep-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37919,이산수학,discrete-mathematics,이산수학,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
37930,컴퓨터구조,computer-architecture,컴퓨터구조,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
37931,컴퓨터구조,computer-architecture,컴퓨터구조,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
37936,알고리즘,algorithms,알고리즘,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,existing_topic
37936,알고리즘,greedy-algorithm,그리디 알고리즘,3,algorithms,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37936,알고리즘,hash,해시,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37936,알고리즘,recursion,재귀,3,algorithms,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37936,알고리즘,searching,탐색,3,algorithms,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37936,알고리즘,sorting,정렬,3,algorithms,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37936,알고리즘,tree,트리,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37937,알고리즘,algorithms,알고리즘,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
37937,알고리즘,hash,해시,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37937,알고리즘,recursion,재귀,3,algorithms,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37937,알고리즘,searching,탐색,3,algorithms,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37937,알고리즘,sorting,정렬,3,algorithms,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37937,알고리즘,tree,트리,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37956,자료구조,data-structures,자료구조,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,existing_topic
37956,자료구조,hash,해시,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
37956,자료구조,queue,큐,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
