source_row_number,course_name,grade,semester,credit,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,is_target_department,is_target_course
31495,공학선형대수학,1,2학기,3.0,전공기초,"미적분학을 이수한 이공계열 학생을 대상으로 선형대수학의 기초적인 내용에 관한 정의와 성질들을 소개하고, 공학적인 응용에 관련된 예제와 문제를 다루어 학생들이 각 전공분야에서 필요하게 될 선형대수의 기본개념과 기초지식을 습득하여 선형대수학적인 여러 가지 문제들을 해결할 수 있는 능력을 갖도록 지도한다.","공학선형대수학(개정판),  저자 : 수학교재편찬위원회,  발간연도 : 2021년, 출판사 : 교문사",,"[1] Linear Algebra with Applications George Nakos and David Joyner 저Brooks/Cole 출판사 [2] Linear Algebra Schaum's Outline Series, Seymour Lipschutz 저, McGrawHill 출판사",,False,True
31545,공학선형대수학,1,2학기,3.0,전공기초,"미적분학을 이수한 이공계열 학생을 대상으로 선형대수학의 기초적인 내용에 관한 정의와 성질들을 소개하고, 공학적인 응용에 관련된 예제와 문제를 다루어 학생들이 각 전공분야에서 필요하게 될 선형대수의 기본개념과 기초지식을 습득하여 선형대수학적인 여러 가지 문제들을 해결할 수 있는 능력을 갖도록 지도한다.","교재 : 공학선형대수학, 저자 : 허찬 외 9명, 발간연도 : 2021년, 출판사 : 교문사",,"[1] Linear Algebra with Applications George Nakos and David Joyner 저Brooks/Cole 출판사 [2] Linear Algebra Schaum's Outline Series, Seymour Lipschutz 저, McGrawHill 출판사",미적분학,False,True
31554,공학통계학,1,1학기,3.0,전공기초,통계의 원리를 이해하고 환경정보 해석을 위한 수학적 능력을 강화한다. 학습자의 능력은 시험을 통해 평가된다.,,,,없음,False,True
31569,미세먼지제어공학,3,1학기,3.0,전공필수,대기오염저감장치 중 미세먼지 제어장치의 원리를 이해하고 설계한다.,"C. D. Cooper, F. C. Alley 저/ 김동술 역/ 대기오염제어 설계공학/ 동화기술/ 2012",,"대기오염개론; 일반물리학; 미적분학; Aerosol Technology, Hinds, Wiley","대기오염개론, 일반물리학, 미적분학",False,True
31575,환경데이터프로그래밍,2,2학기,3.0,전공선택,"환경 빅데이터 프로그래밍은 환경분야에서 활용되는 Open Source 빅데이터를 활용해 환경 변수를 산정, 예측, 분류하는 딥러닝 프로젝트를 설계하는 과목이다.","핸즈온 머신러닝 2판, 오렐리앙 제롱",,,없음,False,True
31580,환경창의프로젝트,4,1학기,2.0,전공필수,"환경공학 관련 이론과 실험 및 실습을 토대로 창의적이고 주도적인 연구를 수행할 수 있도록하고, 종합 설계능력을 배양 하도록 지도하는 것이 목적이다. 학생들은 교육과정에서 배운 내용을 바탕으로 졸업논문을 기획, 설계하고 지도교수의 지도하에 최종 졸업논문을 작성한다.",,,,,False,True
31585,전자기학(II),2,2학기,3.0,전공필수,"자기장의 물리적특성을 이해하고 이와 관련된 수학및 공학적기초를 배양한다. 시변전자계의 특성과 상호관계를 이해한다. 평면파의 수학적 해를 도출한다. 표현력, 커뮤니케이션 및 논리의 일반화에 대한 기술습득을 강조한다. 이를 통해 체계적이고 논리적인 사고력을 증대시키고 이를 다른 분야에 적용할 수 있도록 한다.","Engineering Electromagnetics, Hayt & Buck, 8th edition, McGraw Hill",,"1. Field and wave electromagnetics, David K. Cheng, 2nd edition, Addison Wesley 2. Elements of Electromagnetics, Sadiku, 2nd edition, Saunders College Publishing",,False,True
31586,전자기학(I),2,1학기,3.0,전공필수,정전계와 정자계에 관한 기본 이론 및 응용분야에 대한 깊이 있는 지식을 습득한다.,Engineering Electromagnetics (Hyat),,Fundamentals of Engineering Electromagnetics (D.K.Cheng),"미적분학, 일반물리",False,True
31594,전기회로(I),2,1학기,3.0,전공필수,"이 과목에서 우리는 기본적인 회로 해석 방법 및 관련 이론들을 배운다. 마디전압법, 망전류법, 오피 앰프, 1계 및 2계 선형동차 회로들을 이해하고 해석할 수 있는 능력을 갖추도록 한다.",Fundamentals of Electric Circuits (Alxander & Sadiku) MacGrew Hill Book,,다양한 회로이론 서적들 (인터넷 자료 포함),,False,True
31595,전기회로(II),2,2학기,3.0,전공필수,교류회로의 기초가 되는 단상 및 삼상회로 등에 대하여 현상을 이해하고 연습문제를 풀 수 있도록 한다.,"Fundamentals of Electric Circuits, by Alexander and Sadiku",,,전기회로(I),False,True
